gRNA_id,Gene,bm1,bm2,bm3,bm4,bm5,LFC_avg_bm,LFC_median_bm,LFC_concordant_mean_bm,LFC_directional_bm,z_score_avg_bm,z_score_median_bm,z_score_concordant_mean_bm,Input_median,d15-rep1,d15-rep2,d15-rep3,d15-rep4,d15-rep5,LFC_avg_d15,LFC_median_d15,LFC_concordant_mean_d15,LFC_directional_d15,z_score_avg_d15,z_score_median_d15,z_score_concordant_mean_d15,d5,LFC_avg_d5,LFC_median_d5,LFC_concordant_mean_d5,LFC_directional_d5,z_score_avg_d5,z_score_median_d5,z_score_concordant_mean_d5,input,LFC_avg_input,LFC_median_input,LFC_concordant_mean_input,LFC_directional_input,z_score_avg_input,z_score_median_input,z_score_concordant_mean_input,lib,LFC_avg_lib,LFC_median_lib,LFC_concordant_mean_lib,LFC_directional_lib,z_score_avg_lib,z_score_median_lib,z_score_concordant_mean_lib,spleen1,spleen2,spleen3,spleen4,spleen5,LFC_avg_spleen,LFC_median_spleen,LFC_concordant_mean_spleen,LFC_directional_spleen,z_score_avg_spleen,z_score_median_spleen,z_score_concordant_mean_spleen,gene_name_m_corrected,gene_name_h,HGVSp_m,HGVSp_h,classification,classification_m,sensor_reads_input,corr_perc_input,target_base_edit_perc_input,byproduct_INDEL_perc_input,byproduct_sub_perc_input,sensor_reads_d5,corr_perc_d5,target_base_edit_perc_d5,byproduct_INDEL_perc_d5,byproduct_sub_perc_d5,sensor_reads_d15,corr_perc_d15,target_base_edit_perc_d15,byproduct_INDEL_perc_d15,byproduct_sub_perc_d15,sensor_reads_bm,corr_perc_bm,target_base_edit_perc_bm,byproduct_INDEL_perc_bm,byproduct_sub_perc_bm,sensor_reads_spleen,corr_perc_spleen,target_base_edit_perc_spleen,byproduct_INDEL_perc_spleen,byproduct_sub_perc_spleen,p_high_unadjusted_d5_fishers,p_low_unadjusted_d5_fishers,FDR_high_d5_fishers,FDR_low_d5_fishers,p_high_unadjusted_d5_stouffers,p_low_unadjusted_d5_stouffers,FDR_high_d5_stouffers,FDR_low_d5_stouffers,FDR_d5_fishers,FDR_d5_stouffers,p_high_unadjusted_d15_fishers,p_low_unadjusted_d15_fishers,FDR_high_d15_fishers,FDR_low_d15_fishers,p_high_unadjusted_d15_stouffers,p_low_unadjusted_d15_stouffers,FDR_high_d15_stouffers,FDR_low_d15_stouffers,FDR_d15_fishers,FDR_d15_stouffers,p_high_unadjusted_spleen_fishers,p_low_unadjusted_spleen_fishers,FDR_high_spleen_fishers,FDR_low_spleen_fishers,p_high_unadjusted_spleen_stouffers,p_low_unadjusted_spleen_stouffers,FDR_high_spleen_stouffers,FDR_low_spleen_stouffers,FDR_spleen_fishers,FDR_spleen_stouffers,p_high_unadjusted_bm_fishers,p_low_unadjusted_bm_fishers,FDR_high_bm_fishers,FDR_low_bm_fishers,p_high_unadjusted_bm_stouffers,p_low_unadjusted_bm_stouffers,FDR_high_bm_stouffers,FDR_low_bm_stouffers,FDR_bm_fishers,FDR_bm_stouffers
gRNA_2,Abl1,-0.5268278917723058,-0.22475817992340413,-2.6067827536616073,1.2209789799409667,0.519893440828419,-0.3234992809175863,-0.22475817992340413,,False,-0.06756823158202968,0.0015908428087452622,,914.7160716975449,-4.7254058049398004,-3.2876122444825233,-3.209366253045047,-3.5501981112243364,-5.322555612099308,-4.019027605158203,-3.5501981112243364,-4.019027605158203,True,-4.495454526043428,-4.016516615458447,-3.924094367199629,-1.5625255669256222,-1.5625255669256222,-1.5625255669256222,-1.5625255669256222,True,-2.661551122105734,-2.661551122105734,-2.661551122105734,0.0,0.0,0.0,0.0,True,,,,-1.3174814735455687,-1.3174814735455687,-1.3174814735455687,-1.3174814735455687,True,-2.9555414229978263,-2.9555414229978263,-2.9555414229978263,0.12030957540400146,-0.2747168609106051,-1.031109256277761,-0.15460402337293735,-1.1600111342448332,-0.500026339880427,-0.2747168609106051,-0.6551103187015341,True,-0.4448618412927484,-0.1947218316583995,-0.48695882655922423,Abl1,ABL1,Non-coding,,targeting guide,Intron,5426,0.0,0.0737191301142646,0.0737191301142646,3.077773682270549,1932,13.354037267080743,29.96894409937888,0.0,46.325051759834366,2234,32.54252461951656,45.88182632050135,0.0,22.426141450313335,31331,32.27474386390476,46.45558711818965,0.0095751811305097,33.388656602087394,18517,33.12631635794135,37.570880812226605,0.0054004428363125,15.007830642112657,0.99000099990001,0.010098990100989903,0.9952951228941277,1.0,0.99000099990001,0.010098990100989903,0.9952951228941277,1.0,0.9952951228941277,0.9952951228941277,0.9999999994329495,1.0920866012104074e-07,0.9999999998847036,2.0531228102755658e-05,0.9999999932111034,7.63931861529125e-09,1.0,1.436191899674755e-06,2.0531228102755658e-05,1.436191899674755e-06,0.5872834873089167,0.4376206076381255,0.8332777027477459,1.0,0.5783293283809349,0.42199702786412935,0.7766136695401126,1.0,0.8332777027477459,0.7766136695401126,0.09401521387011896,0.5164310148651872,0.24894169306454034,0.9999999999409894,0.19082813963293493,0.8097362431073314,0.3964164668617875,1.0,0.24894169306454034,0.3964164668617875
gRNA_85,Akt1,-0.8489250812768933,-0.5689309437977269,-0.5564285342865518,-0.037411908446326546,0.06417335445364897,-0.38950462267076996,-0.5564285342865518,-0.5029241169518747,True,-0.13070354172299073,-0.2976016460639964,-0.10403202493625827,1443.590902244314,0.6291521839219388,0.7047621206470966,0.18322534274444863,0.9405139002772203,1.1843809276047572,0.7284068950390923,0.7047621206470966,0.7284068950390923,True,0.9647998610682174,0.9220554126303337,0.8934115172486676,0.43500232933396404,0.43500232933396404,0.43500232933396404,0.43500232933396404,True,0.6004268477177342,0.6004268477177342,0.6004268477177342,0.0,0.0,0.0,0.0,True,,,,0.4173129215650172,0.4173129215650172,0.4173129215650172,0.4173129215650172,True,0.7771866781775026,0.7771866781775026,0.7771866781775026,0.1712174474012525,0.892796779932724,-0.15426184228255135,0.1788612561435745,0.2787844603195752,0.273479620302915,0.1788612561435745,0.3804149859492816,True,0.4237429702493161,0.30353799891212024,0.510827499924013,Akt1,AKT1,D323G,D323G,targeting guide,Missense,1536,8.268229166666668,10.3515625,0.5208333333333333,8.268229166666668,8027,13.442132801793946,74.63560483368632,3.4134795066650057,70.33761056434533,50164,4.020811737500997,89.54030779044734,0.0,90.97759349334184,21844,7.201062076542758,61.618751144479035,0.0,63.0653726423732,29470,14.540210383440789,76.9324737020699,0.0,71.46250424160164,0.015998400159983998,0.9841015898410159,0.05419277892030615,1.0,0.015998400159983994,0.9841015898410159,0.05419277892030614,1.0,0.05419277892030615,0.05419277892030614,4.4214726506215336e-05,0.9999960741069054,0.0002770789527722828,0.9999999999941136,6.700962158319662e-06,0.9999934702335095,4.1304291336527754e-05,1.0,0.0002770789527722828,4.1304291336527754e-05,0.007081420269401586,0.9986945497335454,0.02237490774197476,1.0,0.0023974173735047343,0.997621289230642,0.008194808476707092,1.0,0.02237490774197476,0.008194808476707092,0.5321362538827301,0.7924185715394763,0.7846401233721825,0.9999999999409894,0.35517111518464406,0.6450634164204077,0.6042730285494397,1.0,0.7846401233721825,0.6042730285494397
gRNA_871,Arid2,-0.4086093521651788,-2.331458019051475,-0.46900273065985726,-0.01372664265174539,0.0023806627027104094,-0.6440832163651091,-0.4086093521651788,-0.805699186132064,True,-0.3742125978270228,-0.16425723218972246,-0.3266976151620773,2999.728874830547,0.8478807522619969,0.7210297231522665,0.49510353661204326,0.8478256598804688,0.6951275177187084,0.7213934379250967,0.7210297231522665,0.7213934379250967,True,0.9567333443055485,0.9409366059478009,0.886294542614137,0.4321524755473586,0.4321524755473586,0.4321524755473586,0.4321524755473586,True,0.5957730152047905,0.5957730152047905,0.5957730152047905,0.0,0.0,0.0,0.0,True,,,,0.5850901648699693,0.5850901648699693,0.5850901648699693,0.5850901648699693,True,1.13819016803614,1.13819016803614,1.13819016803614,-0.13738767472486507,-1.2146243730372561,-0.776134113202372,-0.27714538600226823,-0.4933808097184509,-0.5797344713370425,-0.4933808097184509,-0.5797344713370425,True,-0.5343697055706566,-0.43492623744516257,-0.4143299979737768,Arid2,ARID2,N1540S,N1546S,targeting guide,Missense,13625,0.0,0.0513761467889908,0.2055045871559633,10.818348623853211,31597,0.3639586036649049,31.756179384118745,0.003164857423173,97.76244580181664,153083,2.033537362084621,41.248211754407734,0.0,97.23679311223324,58015,0.0,38.093596483668016,0.0,96.10100835990691,47673,0.0,16.533467581230465,0.0041952467853921,97.9653053090848,0.015998400159983998,0.9841015898410159,0.05419277892030615,1.0,0.015998400159983994,0.9841015898410159,0.05419277892030614,1.0,0.05419277892030615,0.05419277892030614,3.1439966297711255e-05,0.999999770006352,0.00021493504232617149,0.9999999999941136,3.2224737673036176e-06,0.9999968496407884,2.2437965490854816e-05,1.0,0.00021493504232617149,2.2437965490854816e-05,0.8125858953200593,0.38119003284107267,0.9984715576481775,1.0,0.7301339112247838,0.27010924741261066,0.9212427873171769,1.0,0.9984715576481775,0.9212427873171769,0.561744531105257,0.4778929330030576,0.8088105338881871,0.9999999999409894,0.5186881710267234,0.48168470964066445,0.7491246017130793,1.0,0.8088105338881871,0.7491246017130793
gRNA_895,Arid5b,0.5218594986731001,-2.5056652198201914,0.9780114394721378,0.6318942573641582,1.2972443717554931,0.18466886948893957,0.6318942573641582,0.8572523918162223,True,0.4185038487602717,0.7743580541053492,0.8962633625148784,777.5869859918662,2.1045712226136786,0.920225686257281,1.0590222966888052,0.625431193538219,1.1177731215245739,1.1654047041245117,1.0590222966888052,1.1654047041245117,True,1.4674122097204578,1.3332318515922321,1.3368593450538815,1.237565492968979,1.237565492968979,1.237565492968979,1.237565492968979,True,1.9110184865486117,1.9110184865486117,1.9110184865486117,0.0,0.0,0.0,0.0,True,,,,-0.7029577936091579,-0.7029577936091579,-0.7029577936091579,-0.7029577936091579,True,-1.6332810932426733,-1.6332810932426733,-1.6332810932426733,0.6040271284579445,0.8787204183301337,0.2454891263960216,0.7913963510951095,0.7695533475273206,0.6578372743613061,0.7695533475273206,0.6578372743613061,True,0.8553555561290761,0.9524188207729668,0.778139331702521,Arid5b,ARID5B,K1026E,K1026E,targeting guide,Missense,179,0.0,8.938547486033519,0.0,18.435754189944134,13089,3.338681335472534,91.48903659561464,1.0161204064481626,90.35831614332646,40241,0.5765264282696753,99.8608384483487,0.0298203324967073,98.16604955145247,41827,0.7746192650680183,99.85177038754873,0.1243216104430152,98.90740430822196,37787,0.8045094873898431,98.71384338529124,1.2782173763463625,97.38005134040807,9.99900009999001e-05,1.0,0.0005295245123374991,1.0,9.999000099989996e-05,1.0,0.0005295245123374983,1.0,0.0005295245123374991,0.0005295245123374983,8.00315158525151e-07,0.9999999950729968,1.1573788446363722e-05,0.9999999999941136,6.232264737383614e-08,0.9999999414296424,9.012813620216303e-07,1.0,1.1573788446363722e-05,9.012813620216303e-07,7.500995581677757e-05,0.9999978087498966,0.0004445621804723765,1.0,1.0047941452864837e-05,0.9999901540661638,6.869138156867597e-05,1.0,0.0004445621804723765,6.869138156867597e-05,0.005258741181039125,0.748080500034909,0.027086118959872754,0.9999999999409894,0.012671224929376928,0.9874218008694392,0.0496289643067263,1.0,0.027086118959872754,0.0496289643067263
gRNA_896,Arid5b,1.883921963955389,1.5977826267168638,0.9737764098489851,0.24121640500594885,0.20568102216826936,0.9804756855390911,0.9737764098489851,0.9804756855390911,True,1.1797075454473454,1.0827623801401964,0.9868837279916779,1572.043982527489,-0.2002642379512137,0.6863078514939116,1.145660199623971,0.5173652180061892,-0.09652662530455104,0.41050848117366134,0.5173652180061892,,False,0.5991694961011145,0.7045508882400278,,0.8553554424716386,0.8553554424716386,0.8553554424716386,0.8553554424716386,True,1.2868666201831778,1.2868666201831778,1.2868666201831778,0.0,0.0,0.0,0.0,True,,,,0.00993069766244699,0.00993069766244699,0.00993069766244699,0.00993069766244699,True,-0.09937084320155898,-0.09937084320155898,-0.09937084320155898,0.6308088607311533,1.1612646977442187,0.3298214555515352,0.7425962357969362,0.4592008593700141,0.6647384218387715,0.6308088607311533,0.6647384218387715,True,0.8631051666203345,0.8000066961920218,0.7847889718022202,Arid5b,ARID5B,K1026E,K1026E,targeting guide,Missense,3024,0.0,0.3968253968253968,0.0,6.283068783068783,16805,0.1309134186254091,51.270455221660214,0.0059506099375185,95.19190717048498,74415,0.0,62.42693005442451,0.0,95.5613787542834,102503,0.0,36.53063812766455,0.0009755812025013,92.26656780777148,61571,0.3914180377125595,56.063731302074025,0.0032482824706436,91.19877864579104,9.99900009999001e-05,1.0,0.0005295245123374991,1.0,9.999000099989996e-05,1.0,0.0005295245123374983,1.0,0.0005295245123374991,0.0005295245123374983,0.0019786242837225108,0.9979154100181723,0.007999599254620043,0.9999999999941136,0.0009252325934162673,0.9990860998309079,0.003444430248757589,1.0,0.007999599254620043,0.003444430248757589,5.084362644520624e-05,0.999997038644348,0.0003413786347035277,1.0,8.49200106686408e-06,0.9999918574970055,6.260769414001754e-05,1.0,0.0003413786347035277,6.260769414001754e-05,0.00016684177001907586,0.9999086405040698,0.002129896804587703,0.9999999999409894,4.841958032323988e-05,0.9999528894303308,0.0007479207985891293,1.0,0.002129896804587703,0.0007479207985891293
gRNA_1000,Atm,-0.35742357206756364,0.13703019030876382,0.677756478763049,-0.1431929832801682,0.37289953204327053,0.1374139291534703,0.13703019030876382,,False,0.37330363867835725,0.32795212747290886,,2349.2694682934175,0.3918251923218067,0.16578672622294344,1.218051025908305,0.6004604667521711,0.6692557720578051,0.6090758366526062,0.6004604667521711,0.6090758366526062,True,0.8275514303533948,0.8009964127011329,0.7723191512664832,0.5984572565415215,0.5984572565415215,0.5984572565415215,0.5984572565415215,True,0.8673499643403126,0.8673499643403126,0.8673499643403126,0.0,0.0,0.0,0.0,True,,,,0.4212845888667368,0.4212845888667368,0.4212845888667368,0.4212845888667368,True,0.7857324483203114,0.7857324483203114,0.7857324483203114,0.5063115620790606,0.46623426051451516,1.5917063876757642,0.8505590947255012,1.0314235414359132,0.8892469692861509,0.8505590947255012,0.8892469692861509,True,1.1152159641879333,1.0414043964800563,1.001115466012949,Atm,ATM,K2450E,K2440E,targeting guide,Missense,11103,0.0090065747996037,0.1170854723948482,0.0,24.128613888138343,28154,0.046174611067699,47.2721460538467,0.110108687930667,97.90083114299922,157592,0.164348444083456,33.81897558251688,0.5146200314736789,98.33874815980506,75145,0.0053230421185707,38.123627653203805,0.0133076052964269,99.0272140528312,82971,0.0,38.84730809559967,0.0891877885044172,98.61397355702594,0.011898810118988105,0.9882011798820118,0.04660367296603675,1.0,0.011898810118988103,0.9882011798820118,0.04660367296603674,1.0,0.04660367296603675,0.04660367296603674,0.00029341455461627986,0.9999828577309204,0.0015112859251468662,0.9999999999941136,5.1978155334067064e-05,0.9999488669267611,0.00027144147785568355,1.0,0.0015112859251468662,0.00027144147785568355,1.8072662236893144e-06,0.9999997270954207,2.1235378128349445e-05,1.0,2.607736989148794e-07,0.9999997651624738,3.064090962249833e-06,1.0,2.1235378128349445e-05,3.064090962249833e-06,0.0772197940361862,0.9882746392706537,0.2166764369970598,0.9999999999409894,0.030259069890744995,0.9698070241748485,0.10158402034750105,1.0,0.2166764369970598,0.10158402034750105
gRNA_1036,Atm,-0.8350002738193696,1.3503949805800033,-1.5697083571661807,0.8577663794246679,-0.5640135014852494,-0.1521121544932257,-0.5640135014852494,,False,0.09636667267817274,-0.3044438771658805,,790.1189938243712,2.115204871796085,1.3045086796302852,1.2463213777141477,1.092931841548676,1.4292253876223326,1.4376384316623052,1.3045086796302852,1.4376384316623052,True,1.7805214069186959,1.6181586471449751,1.6131111994615854,0.9082059446437751,0.9082059446437751,0.9082059446437751,0.9082059446437751,True,1.3731718848567946,1.3731718848567946,1.3731718848567946,0.0,0.0,0.0,0.0,True,,,,0.08991510528933061,0.08991510528933061,0.08991510528933061,0.08991510528933061,True,0.07273026967164628,0.07273026967164628,0.07273026967164628,0.5715774312312747,-0.05797050880786418,-0.20401133774300964,0.9350115408219958,0.7645158593228717,0.4018245969650537,0.5715774312312747,,False,0.5678673467952494,0.7349404134120394,,Atm,ATM,D2730G,D2720G,targeting guide,Missense,447,1.5659955257270697,1.5659955257270697,0.0,14.988814317673375,6275,57.73705179282869,99.6812749003984,0.3187250996015936,41.60956175298805,34214,47.354883965628105,95.93149003331968,16.61892792424154,31.78815689483837,14276,76.00868590641636,98.09470439899133,0.0,22.61137573550014,23009,56.882089617106345,97.753053153114,0.4563431700638881,41.179538441479416,9.99900009999001e-05,1.0,0.0005295245123374991,1.0,9.999000099989996e-05,1.0,0.0005295245123374983,1.0,0.0005295245123374991,0.0005295245123374983,1.7673924457718055e-07,0.9999999997440995,3.909056233001169e-06,0.9999999999941136,1.0846018737305461e-08,0.9999999899775798,2.3988841442510903e-07,1.0,3.909056233001169e-06,2.3988841442510903e-07,0.0013130202200996087,0.9985582348821764,0.005674662100660378,1.0,0.0005891169526163557,0.9994194219465258,0.0024611997131527745,1.0,0.005674662100660378,0.0024611997131527745,0.06727888645125771,0.6544756117863956,0.19609970004397595,0.9999999999409894,0.1450754999687035,0.8554352399821679,0.32663705382175157,1.0,0.19609970004397595,0.32663705382175157
gRNA_1149,Atrx,-0.6185761757322213,-0.5694180145018156,-0.42951205252154845,0.17961763803529407,1.513381442535364,0.015098567563014509,-0.42951205252154845,,False,0.25630677018407755,-0.18311309573469253,,1051.6041572525983,0.26039686422029446,0.7390585083011432,0.284371059078515,0.21158018615103805,0.08488387196505748,0.3160580979432096,0.26039686422029446,0.3160580979432096,True,0.49053753511734144,0.4062974017314406,0.47497651696124155,0.9250475872098936,0.9250475872098936,0.9250475872098936,0.9250475872098936,True,1.4006744129212039,1.4006744129212039,1.4006744129212039,0.0,0.0,0.0,0.0,True,,,,0.18320852481889993,0.18320852481889993,0.18320852481889993,0.18320852481889993,True,0.27346816098271653,0.27346816098271653,0.27346816098271653,0.08365310055902243,0.9544188073927317,-1.3981785676344574,0.4677790255127149,-0.503292405653019,-0.07912400796460146,0.08365310055902243,,False,0.02778841547412187,0.19895094392237495,,Atrx,ATRX,N246S,N247S,targeting guide,Missense,1547,0.0,17.453135100193922,3.361344537815126,26.373626373626376,14877,0.2755931975532701,95.36196813873764,0.0,99.24043826040196,44287,1.309639397565877,91.56637387946802,0.0970939553367805,95.38465012306094,41020,0.0,90.20721599219893,0.0,99.43442223305703,17245,0.0,94.32879095389968,0.040591475790084,97.8834444766599,9.99900009999001e-05,1.0,0.0005295245123374991,1.0,9.999000099989996e-05,1.0,0.0005295245123374983,1.0,0.0005295245123374991,0.0005295245123374983,0.006737766739782089,0.999689557755643,0.022619645483554156,0.9999999999941136,0.0015417772447037055,0.9984669549420487,0.005417834056155077,1.0,0.022619645483554156,0.005417834056155077,0.0207781660376688,0.677064845507977,0.05681837972163348,1.0,0.062483684525098,0.9380214003022253,0.13580269006610893,1.0,0.05681837972163348,0.13580269006610893,0.07301715181925596,0.909725987893574,0.20957594720641406,0.9999999999409894,0.07444733188186207,0.925911517148192,0.20268037490517787,1.0,0.20957594720641406,0.20268037490517787
gRNA_1322,Bap1,1.3156441498361244,1.5657714035845691,1.1013401391551012,1.3687102777300253,-0.2748127216779637,1.0153306497255714,1.3156441498361244,1.3378664925764552,True,1.2130469527652294,1.3911537049797387,1.249714598465023,1908.2391926494954,0.5738113029845396,0.8195607832339572,0.6326142137144908,0.5837924717417577,0.25066189480803674,0.5720881332965563,0.5837924717417577,0.5720881332965563,True,0.7850100810181565,0.7816504988883153,0.7347855152442077,0.7783616659635476,0.7783616659635476,0.7783616659635476,0.7783616659635476,True,1.1611352082448554,1.1611352082448554,1.1611352082448554,0.0,0.0,0.0,0.0,True,,,,0.28630042401796274,0.28630042401796274,0.28630042401796274,0.28630042401796274,True,0.49528927720746996,0.49528927720746996,0.49528927720746996,0.9109119708075528,1.1614814190744913,0.8343778150072165,1.141616169179698,1.1373992757431084,1.0371573299624133,1.1373992757431084,1.0371573299624133,True,1.2813111949601323,1.3565010350103017,1.1436353395159384,Bap1,BAP1,H141R,H141R,targeting guide,Missense,7931,0.0,0.7439162778968604,0.4917412684402976,2.9756651115874417,26891,2.978691755605965,95.45944739875794,0.0185935814956676,92.96790747833847,100785,0.5605992955300888,96.3823981743315,0.9098576177010468,96.82690876618544,96066,1.0065996294214394,98.02219307559386,0.006245706077072,97.26646264026814,82053,0.0024374489659122,95.63331017756816,0.7543904549498495,96.61438338634784,9.99900009999001e-05,1.0,0.0005295245123374991,1.0,9.999000099989996e-05,1.0,0.0005295245123374983,1.0,0.0005295245123374991,0.0005295245123374983,0.00029181812962952034,0.9999941744499848,0.0015112859251468662,0.9999999999941136,4.133076287279843e-05,0.9999592081240684,0.00022200524057388874,1.0,0.0015112859251468662,0.00022200524057388874,6.160907447390643e-08,0.9999999998080996,1.158250600109441e-06,1.0,3.849938997243926e-09,0.9999999965722369,8.042094794242868e-08,1.0,1.158250600109441e-06,8.042094794242868e-08,7.740537172633395e-05,0.9997677678760982,0.0013223652429271862,0.9999999999409894,2.3360874363187183e-05,0.9999771914892206,0.0004182708933599229,1.0,0.0013223652429271862,0.0004182708933599229
gRNA_1337,Bap1,0.4238785841355626,-0.6985333766860273,-1.394128676353202,-0.9559571057633227,-1.6747277747081872,-0.8598936698750353,-0.9559571057633227,-1.1808367333776848,True,-0.580639222583548,-0.6580075313154277,-0.6025797199849191,2560.747100466938,-0.47877079044279675,-0.4603708220924467,0.08297420556063605,0.011388337120677567,-0.6778354226327363,-0.3045228984973332,-0.4603708220924467,,False,-0.22322273018632285,-0.4302704955926647,,0.28617141138902297,0.28617141138902297,0.28617141138902297,0.28617141138902297,True,0.3573848474162217,0.3573848474162217,0.3573848474162217,0.0,0.0,0.0,0.0,True,,,,-0.12251642317327982,-0.12251642317327982,-0.12251642317327982,-0.12251642317327982,True,-0.3843550991206972,-0.3843550991206972,-0.3843550991206972,-0.3869641996304835,-1.0437209227721371,-0.5238528232155176,-0.14355891437388804,-2.032870034272701,-0.8261933788529454,-0.5238528232155176,-0.8261933788529454,True,-0.8111295547966046,-0.46840003106818573,-0.6518068870994249,Bap1,BAP1,Y173C,Y173C,targeting guide,Missense,15977,1.370720410590223,1.7650372410339863,0.0,9.438567941415783,22649,51.026535387875846,85.26645768025078,0.0044152059693584,35.99275906221025,69879,64.2796834528256,89.02960832295825,0.0014310450922308,26.575938407819233,44945,63.57993102681054,86.49237957503615,0.0,24.676827233285124,32287,51.91872890017654,84.02452999659306,0.0,34.153064700963235,0.03449655034496551,0.9656034396560343,0.1029420867437066,1.0,0.03449655034496548,0.9656034396560343,0.10294208674370652,1.0,0.1029420867437066,0.10294208674370652,0.4541184759039828,0.8002569129886965,0.7555060070204647,0.9999999999941136,0.31252852203847326,0.6877106905329744,0.5269539205671119,1.0,0.7555060070204647,0.5269539205671119,0.8789135315935479,0.14575361773860912,0.99999999992828,1.0,0.8800319279559756,0.12020669813175289,1.0,0.8527871414630016,0.99999999992828,0.8527871414630016,0.7572236121707367,0.25548817422952735,0.9396570236838185,0.9999999999409894,0.7853809164227554,0.21487825723899684,0.9404172622105288,1.0,0.9396570236838185,0.9404172622105288
